0,5	2	1,5	3																											
0,5	3	0,5	3																											
0,5	3	2,5	3																											
0,5	3	1	3																											
4	1,5	3,5	-2																											
3,5	2,5	3	-1																											
4	1,5	3	-2																											
4	1,5	3	-2																											
3,5	1,5	3	-2																											
3,5	1	3	-2																											
4	1	3,5	-2																											
4	1,5	3,5	-2																											
4	1,5	2,5	-2																											
4	1	3	-2																											
3	1,5	3,5	-2																											
4	1	3	-2																											
3,5	1,5	3	-2																											
4	1,5	4	-2																											
4	1	3	-2																											
0,5	3	1,5	3																											
0,5	3	1,5	3																											
1,5	2	2,5	1																											
1,5	1	1	0																											
3	1	3,5	-2																											
0,5	3	1	3																											
0,5	3	1	3																											
2	2	3	1																											
4,5	1,5	3	-2																											
4	1,5	3,5	-2																											
0,5	3	1	3																											
0,5	3	1	3																											
0,5	3	2,5	3																											
0,5	1,5	1	2																											
0,5	3	1,5	3																											
0,5	2,5	1	3																											
